,product_id,product_name,category_path,price
117,1118,Sniper Ghost Warrior (PC),Gry i konsole;Gry komputerowe,14.9
118,1119,Civilization 5 Bogowie i Królowie (PC),Gry i konsole;Gry komputerowe,78.0
119,1120,Civilization 4 Warlords (PC),Gry i konsole;Gry komputerowe,20.9
120,1121,Battlefield 3 Powrót do Karkand (PC),Gry i konsole;Gry komputerowe,29.99
121,1122,Dead Rising 2 (PC),Gry i konsole;Gry komputerowe,73.0
122,1123,Deep Black Reloaded (PC),Gry i konsole;Gry komputerowe,132.9
123,1124,Devil May Cry 4 (PC),Gry i konsole;Gry komputerowe,94.0
124,1125,Diablo 3 (PC),Gry i konsole;Gry komputerowe,69.9
125,1126,The Sims 3 Pokolenia (PC),Gry i konsole;Gry komputerowe,99.99
126,1127,Dark Void (PC),Gry i konsole;Gry komputerowe,41.0
127,1128,Anarchy Reigns (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360,14.99
128,1129,Battlefield Bad Company 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360,89.99
129,1130,Tom Clancy&#39;s Ghost Recon 4 Future Soldier (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360,49.99
130,1131,The Elder Scrolls 5 Skyrim (PC),Gry i konsole;Gry komputerowe,34.99
131,1132,A New Beginning (PC),Gry i konsole;Gry komputerowe,4.99
132,1133,Symulator Agrar 2012 (PC),Gry i konsole;Gry komputerowe,19.99
133,1134,Air Conflicts Secret Wars (PC),Gry i konsole;Gry komputerowe,38.99
134,1135,Bioshock Infinite (PC),Gry i konsole;Gry komputerowe,18.9
135,1136,Just Cause (PC),Gry i konsole;Gry komputerowe,199.9
136,1137,Death Track Resurrection (PC),Gry i konsole;Gry komputerowe,11.9
137,1138,Dead Rising 2 Off the Record (PC),Gry i konsole;Gry komputerowe,47.79
138,1139,F1 2012 (PC),Gry i konsole;Gry komputerowe,71.99
139,1140,Euro Truck Simulator 2 (PC),Gry i konsole;Gry komputerowe,12.99
140,1141,Król Futbolu Piłkarski Quiz (PC),Gry i konsole;Gry komputerowe,1.0
141,1142,Toy Story Mania (PC),Gry i konsole;Gry komputerowe,23.9
142,1143,GTR Evolution (PC),Gry i konsole;Gry komputerowe,25.49
143,1144,Street Fighter 4 (PC),Gry i konsole;Gry komputerowe,1.99
144,1145,Sniper Elite V2 (PC),Gry i konsole;Gry komputerowe,31.9
145,1146,Tropico 3 (PC),Gry i konsole;Gry komputerowe,24.9
146,1147,Kurczak Mały (PC),Gry i konsole;Gry komputerowe,19.99
147,1148,Iniemamocni (PC),Gry i konsole;Gry komputerowe,169.0
148,1149,Medal of Honor Warfighter (PC),Gry i konsole;Gry komputerowe,56.9
149,1150,LEGO Piraci z Karaibów (PC),Gry i konsole;Gry komputerowe,25.9
150,1151,Mafia 2 (PC),Gry i konsole;Gry komputerowe,11.9
151,1152,Mortal Kombat Komplete (PC),Gry i konsole;Gry komputerowe,32.99
152,1153,Symulator Policji (PC),Gry i konsole;Gry komputerowe,37.91
153,1154,Civilization 4 (PC),Gry i konsole;Gry komputerowe,40.9
154,1155,The Sims 3 Kariera (PC),Gry i konsole;Gry komputerowe,31.9
155,1156,Rig&#39;n&#39;Roll Tirowiec (PC),Gry i konsole;Gry komputerowe,4.99
156,1157,The Elder Scrolls 4 Oblivion (PC),Gry i konsole;Gry komputerowe,34.99
157,1158,Lego Star Wars The Complete Saga (PC),Gry i konsole;Gry komputerowe,36.9
158,1159,The Darkness 2 (PC),Gry i konsole;Gry komputerowe,121.9
159,1160,Street Racing Syndicate (PC),Gry i konsole;Gry komputerowe,11.9
160,1161,XCOM Enemy Unknown (PC),Gry i konsole;Gry komputerowe,18.9
161,1162,Total War Shogun (PC),Gry i konsole;Gry komputerowe,30.9
162,1163,Trucks &amp; Trailers (PC),Gry i konsole;Gry komputerowe,17.99
163,1164,Aliens Colonial Marines (PC),Gry i konsole;Gry komputerowe,112.99
164,1165,Gdzie jest Nemo (PC),Gry i konsole;Gry komputerowe,19.99
165,1166,Empire Total War (PC),Gry i konsole;Gry komputerowe,96.99
166,1167,Aliens vs Predator (PC),Gry i konsole;Gry komputerowe,91.99
167,1168,Angry Birds Space (PC),Gry i konsole;Gry komputerowe,24.99
168,1169,Bus Driver (PC),Gry i konsole;Gry komputerowe,9.99
169,1170,Symulator Kamieniołomu (PC),Gry i konsole;Gry komputerowe,4.99
170,1171,Race Driver Grid (PC),Gry i konsole;Gry komputerowe,142.99
171,1172,Silent Hunter 5 Bitwa o Atlantyk (PC),Gry i konsole;Gry komputerowe,31.9
172,1173,The Sims 3 Wymarzone Podróże (PC),Gry i konsole;Gry komputerowe,34.9
173,1174,Euro Truck Simulator (PC),Gry i konsole;Gry komputerowe,8.99
174,1175,Europa Universalis 3 (PC),Gry i konsole;Gry komputerowe,122.99
175,1176,The Sims 3 Nowoczesny Apartament (PC),Gry i konsole;Gry komputerowe,27.9
176,1177,Twierdza 3 (PC),Gry i konsole;Gry komputerowe,34.99
177,1178,King&#39;s Bounty Nowe Światy (PC),Gry i konsole;Gry komputerowe,9.99
178,1179,Symulator Kopalni (PC),Gry i konsole;Gry komputerowe,14.99
179,1180,Split/Second (PC),Gry i konsole;Gry komputerowe,24.9
180,1181,Still Life (PC),Gry i konsole;Gry komputerowe,24.9
181,1182,Battlefield 3 (PC),Gry i konsole;Gry komputerowe,36.9
182,1183,GTA San Andreas (PC),Gry i konsole;Gry komputerowe,40.9
183,1184,Men of War Oddział Szturmowy (PC),Gry i konsole;Gry komputerowe,4.99
184,1185,Homefront (PC),Gry i konsole;Gry komputerowe,12.9
185,1186,Symulator Budowy Mostów (PC),Gry i konsole;Gry komputerowe,18.24
186,1187,Symulator Czołgu (PC),Gry i konsole;Gry komputerowe,13.0
187,1188,Star Wars Battlefront 2 (PC),Gry i konsole;Gry komputerowe,55.0
188,1189,Star Wars Jedi Knight 2 Jedi Outcast (PC),Gry i konsole;Gry komputerowe,17.9
189,1190,Star Wars The Force Unleashed 2 (PC),Gry i konsole;Gry komputerowe,70.9
190,1191,Red Faction Guerrilla (PC),Gry i konsole;Gry komputerowe,19.99
191,1192,GTA Trylogia (PC),Gry i konsole;Gry komputerowe,76.9
192,1193,Heroes Over Europe (PC),Gry i konsole;Gry komputerowe,1.0
193,1194,Operation Flashpoint Dragon Rising (PC),Gry i konsole;Gry komputerowe,34.99
194,1195,Titan Quest (PC),Gry i konsole;Gry komputerowe,38.9
195,1196,Worms Reloaded (PC),Gry i konsole;Gry komputerowe,46.99
196,1197,Hearts of Iron 3 (PC),Gry i konsole;Gry komputerowe,15.99
197,1198,Tropico 4 (PC),Gry i konsole;Gry komputerowe,16.9
198,1199,GTA 5 (PC),Gry i konsole;Gry komputerowe,63.9
199,1200,Star Wars Knights of the Old Republic (PC),Gry i konsole;Gry komputerowe,23.9
200,1201,Jabra Speak 410,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące,327.47
201,1202,Final Fantasy 14 (PC),Gry i konsole;Gry komputerowe,135.9
202,1203,LEGO Batman 2 DC Super Heroes (PC),Gry i konsole;Gry komputerowe,29.99
203,1204,Prosiaczek i Przyjaciele (PC),Gry i konsole;Gry komputerowe,19.99
204,1205,Return to Mysterious Island (PC),Gry i konsole;Gry komputerowe,23.9
205,1206,Hearts of Iron 2 (PC),Gry i konsole;Gry komputerowe,3.59
206,1207,LEGO Batman (PC),Gry i konsole;Gry komputerowe,24.99
207,1208,Mapeciątka podróżują (PC),Gry i konsole;Gry komputerowe,13.79
208,1209,Mapeciątka zdobywają wiedzę (PC),Gry i konsole;Gry komputerowe,15.47
209,1210,Mass Effect 2 (PC),Gry i konsole;Gry komputerowe,33.9
210,1211,Need for Speed Shift 2 Unleashed (PC),Gry i konsole;Gry komputerowe,27.9
211,1212,Arma 3 (PC),Gry i konsole;Gry komputerowe,102.9
212,1213,Symulator Zamiatarki ulic (PC),Gry i konsole;Gry komputerowe,5.0
213,1214,Call of Cthulhu Mroczne zakamarki Świata (PC),Gry i konsole;Gry komputerowe,18.99
214,1215,Patrician 4 (PC),Gry i konsole;Gry komputerowe,34.9
215,1216,Damnation (PC),Gry i konsole;Gry komputerowe,34.99
216,1217,Hitman Krwawa Forsa (PC),Gry i konsole;Gry komputerowe,19.9
217,1218,LEGO Władca Pierścieni (PC),Gry i konsole;Gry komputerowe,39.99
218,1219,Overlord 2 (PC),Gry i konsole;Gry komputerowe,34.99
219,1220,SimCity (PC),Gry i konsole;Gry komputerowe,24.9
220,1221,The Sims 3 Cztery Pory Roku (PC),Gry i konsole;Gry komputerowe,31.9
221,1222,Parrot Minikit NEO,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące,245.0
222,1223,Call of Duty Black Ops 2 (PC),Gry i konsole;Gry komputerowe,32.99
223,1224,Call of Juarez Więzy Krwi (PC),Gry i konsole;Gry komputerowe,39.9
224,1225,Tygrysek i Uczta Kubusia (PC),Gry i konsole;Gry komputerowe,30.0
225,1226,Supreme Commander (PC),Gry i konsole;Gry komputerowe,41.9
226,1227,Karaoke Hity Disco Polo (PC),Gry i konsole;Gry komputerowe,24.99
227,1228,Lego Harry Potter Lata 1-4 (PC),Gry i konsole;Gry komputerowe,24.99
